Event Number,Event Description,Business Unit,Date Created,Date Last Updated,Date of Occurrence,Date of Identification,Estimated Loss,Loss Value,Rationale for Estimated Loss,Total Recovery Amount,Gross Loss Value,Net Loss,Event Status,Event Identifier,Event Type,Event Owner,Risk Driver (Primary Risk Factor),Other Driver1,Other Driver2,Business Unit Caused,Process Caused,Effect Description,Effect Type,Effect Category,Loss Value,Rationale for Gross Loss  Value,Process Impacted,Unit Impacted,General Ledger Impacted,General Ledger Number,Required Actions,Action Owner,Action Due Date,Action Progress Report,Action Status,Recovery Date,Recovery Amount,Recovery Type,Recovery Description
2049,Potentially  Wrong Computation and Erroneous Admin Fee Report  Due to Possible System Glitch,ARM Pensions›Operations›Contributions Processing,6/7/2017 17:00,7/26/2017 10:54,5/31/2017,6/2/2017,₦0.00,0,"A variance of 243,285.00 was discovered as a result of old transactions of /reversal on transaction carried-out in current month of May 2017.

Estimated loss for other likely affected periods under investigation",0,0,0,Closed,Martins Edesemhen,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Application of wrong interest, exchange, other  rates",Lawrence Sonibare,Systems›System availability›Software failure (Software / data corruption etc),,,,,Wrong computation of admin fee,Actual Loss,Restitution,0,Still under investigation,,,,,Carry out a due diligence  for other likely affected periods - That is the commencement of integration between Fundware and Navision EOD process especially as it affect reversals.| Engage the Vendor with a view to apply necessary patches to the system and correct any possible Navision glitch responsible for wrong computation of Admin Fee/ its report.,Martins Edesemhen| Adebimpe Adekanmbi,2017-07-14| 2017-06-05,May identified has bee d resolved base on the system glitch.,Complete| Complete,,,,
2050,Equity trade omission (ExxonMobil Fund) due to counterparty failure (ARM Securities) to send  contract note,ARM Pensions›Investment Mangement›Investment Mangement,6/8/2017 9:16,10/11/2017 14:50,6/2/2017,6/8/2017,₦0.00,0,No estimated loss,0,0,0,Closed,Ifeoluwapo Foloru...,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Oyekunle Omotayo-...,People›Skills›Negligence of duties and responsibilities,,,,,Inaccurate holding report especially the assets classification,Actual Loss,Loss or Damage to Assets,0,,,,,,Rectify omission of trade booking via change control and work with ARM Securities to arrive at a more efficient process go going forward,Agbolade Atekoja,6/9/2017,,Complete| Complete,,,,
2051,AVAYA PHONE LINE FLUNTUATION,ARM Pensions›Information Technology›Information Technology,6/8/2017 11:50,6/14/2017 13:17,6/5/2017,6/5/2017,₦0.00,0,The phone line was fluctuating consistently between 2:30pm and 3:30pm. Outbound activity commenced after it stabilized.,0,0,0,Closed,Folake Ngwu,Business Disruption and System Failures›Interruption in services provided by external providers›Telecommunication link outages,Yomi Egbeola,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Inability to make calls and attend  to customers during the period,Actual Loss,Reduced operational capacity,0,,,,,,Follow up with IT to report the incident to the vendor for prompt resolution,Olushola Adekunle,6/6/2017,,Complete,,,,
2052,Internet connectivity issue following office renovation work at Surulere Office for about an Hour,ARM Pensions›Information Technology›Information Technology,6/12/2017 7:38,6/12/2017 17:01,6/12/2017,6/12/2017,₦0.00,0,INABILITY TO ATTEND TO WALK IN CLIENT BETWEEN 7:30AM-8:30AM,0,0,0,Closed,Rebecca Addy,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Paul Pius,Process›Change Management›Internal communication failures,,,,,Inability to attend to clients,Actual Loss,Reduced operational capacity,0,,,,,,Subsequent changes/Renovation should be carried out with IT in attendance to resolve any Slight disruption  that is often associated with changes,Steve Omali,6/12/2017,,Complete,,,,
2056,Delay In authorizing transactions processed on 12.6.17 due to System Glitch,ARM Pensions›Operations›Contributions Processing,6/14/2017 16:43,6/21/2017 11:15,6/14/2017,6/14/2017,₦0.00,0,Unable to authorize contributions processed for 12th this started at about 1.08pm and was resolved 2.04pm and at 2.28pm the situation continued again.,0,0,0,Closed,Ahmed Shittu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Ahmed Shittu,Systems›System availability›Software failure (Software / data corruption etc),,,,,Delay In authorizing transactions processed  and crediting individual RSA Holders,Actual Loss,Reduced operational capacity,0,,,,,,Follow up with IT to resolve the system glitch and ensure the functionality is returned to normal,Ahmed Shittu,6/22/2017,,Complete,,,,
2058,Faulty Fire Alarm System,ARM Pensions›Administration›Administration,6/15/2017 8:00,6/21/2017 10:45,6/14/2017,6/14/2017,₦0.00,0,NIL,0,0,0,Closed,Paul Pius,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Akinola Akinwole,Systems›System availability›Hardware failure (Failure of wearing parts etc),,,,,"In case of fire, the building insurance contract might have exception and should be fire it might be difficult to pass should information to staff.",Potential Loss,Loss or Damage to Assets,0,,,,,,Engage the vendor to rectify the signaled fault.,Akinola Akinwole,6/20/2017,,Complete,,,,
2063,Delay in Uploading  RSA Statement on Navision for transaction date 16.06.2017 due to System Glitch,ARM Pensions›Operations›Reconciliation,6/19/2017 9:59,6/21/2017 11:13,6/19/2017,6/19/2017,"₦1,000,000.00",0,"RU is unable to upload statement successfully on Navision, reason been that it keeps terminating mid-way and these had been tried 4 times.",0,0,0,Closed,Adetunji Gbadegesin,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Adetunji Gbadegesin,Systems›System availability›Software failure (Software / data corruption etc),,,,,Delaying in contribution processing,Actual Loss,Reduced operational capacity,0,,,,,,Follow up with IT to ensure prompt resolution and ensure normal system operation is restored,Adetunji Gbadegesin,6/21/2017,,Complete,,,,
2065,Refund Instruction (19.6.17) sent by CPU to the bank without RU’s second review,ARM Pensions›Operations›Contributions Processing,6/20/2017 9:21,8/3/2018 11:31,6/19/2016,6/19/2016,₦0.00,0,The refund document was submitted to UPCL for debiting of reconciliation account without RU supervisor signing off on the document,0,0,0,Closed,Adetunji Gbadegesin,"Execution, Delivery and Process Management›Customer account management›Negligent loss or damage of client assets",Lawrence Sonibare,Process›Adequacy of Procedures›Non adherence to processes and procedures,People›Skills›Lack of staff experience in relation to performed tasks,,,,Possible inaccurate processing of refund which could lead to over/under statement of client's asset,Near Miss,Loss of Recourse,0,A case of Near miss,,,,,Review the refund processes (in conjunction with RU) the back and forth loop in the process to cut down on the multiple review exercise being carried out by RU. Work with IT to implement and update Navision with the revised Refund process.,Lawrence Sonibare,7/31/2017,"This is work in process.

A team has been set up to review and come up with a new process with workflow for implementation bearing in mind the system constrain. the team has up on until July 31st 2017.

The team has come up with the review and the outcome has been documented and submitted to risk 
mgt for further review.",Complete,,,,
2066,CFI Easy Reg Application downtime (for 2 days),ARM Pensions›Information Technology›Information Technology,6/20/2017 18:44,6/21/2017 9:55,6/19/2017,6/20/2017,₦0.00,0.00| 0.00,"This is day 2 and the application is not operational. We have expended resources again to Fed Polytechnic Ilaro, Addax Petroleum and had to cancel at the Apostolic faith Schools as the easy reg application could not call up records for CFI to be conducted. This risk if not immediately mitigated may result into more loss of  financial, human and material resources. The week long Scheduled CFI at these organisations hangs on a balance.",0,0,0,Closed,Kehinde Ashafa,Business Disruption and System Failures›Interruption in services provided by external providers›Internet Service downtime,Abdulmalik Musa,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Lost of productive man hours and financial resources| Negative publicity among our clients ,Actual Loss| Actual Loss,Reduced operational capacity| Reputational Loss,0.00| 0.00,,,,,,Activate the back up internet option in other to support business operations and Optimized the use of CFI,Shola Akinola,6/20/2017,,Complete,,,,
2069,Bond Sales - FGN0116 & FGN 240H not approved on Fundware,ARM Pensions›Investment Mangement›Investment Mangement,6/22/2017 11:28,7/26/2017 11:06,6/19/2017,6/21/2017,₦0.00,,No financial loss involved,0,0,0,Closed,Iyanuoluwa Ibrahim,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Iyanuoluwa Ibrahim,People›Skills›Negligence of duties and responsibilities,,,,,,,,,,,,,,Rectify omission of approval of bond sales via Change Control,Iyanuoluwa Ibrahim,6/22/2017,,Complete,,,,
2070,Wrong Payment of Military Refund (Pen100264515666 & Pen100113666317),ARM Pensions›Customer Experience›North Central,6/22/2017 16:28,10/23/2018 8:28,3/9/2017,6/22/2017,"₦73,978.89","73,978.89",The amount involved in the payment,"73,978.89","73,978.89",0,Closed,Olamide Subair,"Execution, Delivery and Process Management›Customer account management›Negligent loss or damage of client assets",Moronke Bamgbala,People›Skills›Negligence of duties and responsibilities,,,,,Erroneous payment of military refund to wrong client.,Actual Loss,Loss or Damage to Assets,"73,978.89",This is the value erroneously paid to the client,,,,,"Develop process narrative and process chain for Military Refund Payments
| Design Military Refund Withdrawal form.| Engage IT to Adopt Military Refund withdrawal process to Workflow| Commission Internal Audit to carry out an Investigation into the root cause of the incidence | The staff members involved in this transaction should be sanctioned for negligence of duty based on the firm’s Disciplinary and Sanction Policy. Specifically, they can be issued Caution Letters",Lawrence Sonibare| Kehinde Ashafa| Kehinde Ashafa| Segun Awode| Yetunde Alabi,2017-07-12| 2017-07-31| 2017-08-31| 2017-07-10| 2017-07-14,,Complete| Complete| Complete| Complete| Complete,7/14/2017,"73,978.89",Others,"Being the debited sum of N73,978.89 in the statement of Mr. Ibrahim AbdulRazak  (PEN100113666317) now reversed"
2071,Inability to complete contribution processing authorization on Ms- Navision for about 2 hours,ARM Pensions›Information Technology›Information Technology,6/22/2017 18:25,7/3/2017 12:38,6/21/2017,6/21/2017,₦0.00,0,CPU couldn't complete authorization due to Ms Navision application issue see attach for error message.,0,0,0,Closed,Ahmed Shittu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Abdulmalik Musa,Systems›System availability›Software failure (Software / data corruption etc),,,,,Loss of productive man hours as processing of contribution as interrupted for some hours,Actual Loss,Reduced operational capacity,0,,,,,,Log the incidence with the vendor to identify the root cause of the abrupt termination in approving contribution,Abdulmalik Musa,6/22/2017,The system has been purged off this,Complete,,,,
2083,Unexecuted money market placement transaction erroneously booked on Fundware,ARM Pensions›Investment Mangement›Investment Mangement,7/6/2017 11:54,8/9/2017 15:42,7/5/2017,7/6/2017,"₦38,356.00",,One-day interest.,0,0,0,Closed,Ifeoluwapo Foloru...,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Ifeoluwapo Foloru...,People›Skills›Negligence of duties and responsibilities,People›Skills›Performance failure of Support unit,External Events›Client / Customer Relations›Client/Counterparty Failures,,,,,,,,,,,,Rectify inappropriately approved trade| Ensure receipt of Telex as proof of funds transfer before booking on Fundware| Fund Accounts to see proof of transfer before approval of trade bookings,Ifeoluwapo Foloru...| Ifeoluwapo Foloru...| Temitope Sotuminu,2017-07-07| 2017-07-07| 2017-07-07,,Complete| Complete| Complete,,,,
2084,"Inability to Book, Approve Trades and Run EOD on Fundware",ARM Pensions›Information Technology›Information Technology,7/7/2017 12:52,7/26/2017 14:53,7/6/2017,7/6/2017,₦0.00,0,Nil,0,0,0,Closed,Temitope Sotuminu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Ireti Ishola,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Loss of productive man hour especially in booking and approving events.,Actual Loss,Reduced operational capacity,0,,,,,,Escalate to IT for prompt resolution by contacting the vendor- Miles,Ireti Ishola,7/14/2017,,Complete,,,,
2089,Inability to Initiate Outbound and Received Inbound calls via 21ST Century (for about 2 hours),ARM Pensions›Information Technology›Information Technology,7/13/2017 9:22,7/26/2017 18:29,7/13/2017,7/13/2017,₦0.00,0,Clients cannot currently reach us through 012715000 and we cannot initiate outbound calls as well since 8:39am.,0,0,0,Closed,Folake Ngwu,Business Disruption and System Failures›Interruption in services provided by external providers›Telecommunication link outages,Yomi Egbeola,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Inability to initiate outbound calls and received calls via the primary line,Actual Loss,Reduced operational capacity,0,,,,,,"Engage the service provider to repair the damaged fiber cable in other to restore the necessary service | In conjunction with MCC, do a communication and awareness campaign  including updating necessary documents  on the use of alternative telecommunication line (Airtel Line: 07080635200) so that our clients are aware of the alternative line in the event of unanticipated downtime from 21st Century.",Yomi Egbeola| Moronke Bamgbala,2017-07-13| 2017-07-31,,Complete| Complete,,,,
2091,Inability/Delay in submit regulatory reports  via RMAS (for 3 days),ARM Pensions›Legal and Compliance›Compliance,7/14/2017 8:17,7/26/2017 9:52,7/11/2017,7/11/2017,₦0.00,0,"The RMAS platform is being supported by PenCom, any possible sanction as a result of delay in submitting  the regulatory report is not feasible.",0,0,0,Closed,Lola Olukogbon,"Business Disruption and System Failures›Interruption in services provided by external providers›Inability to process transactions on external applications (CSCS website, NSE trading terminal, etc.)",Shola Akinola,"External Events›Outsourcing›Lack of formalization of relationship with outsourcer (duties, deliverables etc)",,,,,Inability to submit regulatory reports,Potential Loss,Regulatory Action,0,,,,,,Follow-up with PenCom regarding the inability to submit regulatory reports via the RMAS platform.,Shola Akinola,7/17/2017,PenCom site was down temporary followed by change in IP address which was not communicated on time. This has however been rectified following the new Ips obtained from PenCOM,Complete,,,,
2092,PenCom regulatory fine for violating licensing condition - Cross Selling Initiative,ARM Pensions›Legal and Compliance›Compliance,7/14/2017 8:50,7/26/2017 10:11,7/13/2016,6/29/2017,"₦5,000,000.00","5,000,000.00| 0.00",This is the amount levied by PenCom.,0,"5,000,000.00","5,000,000.00",Closed,Lola Olukogbon,"Clients, Products and Business Practices›Improper business or market practices›Unlicensed activities (e.g. Money laundering, Tax non-remittance, Copyright infringement,  conducting commercial activities in a Residential building, etc.)",Kofo Ejueyitchie,External Events›Regulatory›Regulatory compliance breaches,,,,,Financial Loss as a result of fine paid for regulatory violations| Reputational damage as the fine will be published in the Company Financials,Actual Loss| Potential Loss,Regulatory Action| Reputational Loss,"5,000,000.00| 0.00",This is the amount levied by PenCom for said violation,,,,,Payment of required fine within the due date| A review of the disciplinary process following PenCom evaluation deeming it inadequate.,Kofo Ejueyitchie| Yetunde Alabi,2017-07-14| 2017-07-31,Fine has been paid| The disciplinary process has been updated and is now on the intranet. ,Complete| Complete,,,,
2097,Erroneous SMS Contribution Alert to 33 Retiree Clients.,ARM Pensions›Information Technology›Information Technology,7/19/2017 13:48,7/31/2017 18:26,7/12/2017,7/19/2017,₦82.50,82.50| 0.00,Cost of sending additional SMS to 33 clients at 2.50 each in addition to reputational damage for us.,0,82.5,82.5,Closed,Adebayo Olaonipekun,"Execution, Delivery and Process Management›Monitoring and reporting›Error in the transaction notification sent to clients (e.g. Contribution SMS Alert, Investment Email alert, etc.)",Adebayo Olaonipekun,Systems›System Adequacy›System inadequate for nature of required tasks,,,,,Financial loss due the cost of re-sending 33 SMS to client at the cost of 2.50.| The possibility of reputational loss to the company,Actual Loss| Actual Loss,Outsourcing / Vendor Costs| Reputational Loss,82.50| 0.00,,,,,,CPU to commence sending future SMS via automated channel available on Navision (same as RSA) | To resend SMS to 33 clients and also informing them to ignore previous SMS sent earlier on.,Lawrence Sonibare| Adebayo Olaonipekun,2017-07-24| 2017-07-21,,Complete| Complete,,,,
2098,Theft of A Sales Mobile Device (AEHQ170107) following a robbery Incidence,ARM Pensions›Business Development›North (Abuja) Region,7/20/2017 8:04,11/13/2018 15:40,7/13/2017,7/13/2017,"₦91,250.00","91,250.00",Estimated cost of a mobile device,"91,250.00","91,250.00",0,Closed,Vincent Festus,External Fraud›Theft and Fraud (External)›Armed robbery,John Ikazoboh,"External Events›Social and Natural Environment›External attacks (burglary, robberies, vandalism etc)",,,ARM Pensions›Business Development›North (Abuja) Region,Asset Management›Client Acquisition - Retail,A loss of a company asset,Actual Loss,Loss or Damage to Assets,"91,250.00",,,ARM Pensions,,,Engage the insurance company to process recovery / cash refund of Sales Mobile device,Esther Ukwuoma,9/30/2017,Insurance paid out fully to ARM Pensions on the stolen all-in-1 device and the device has long since been replaced by the Steve Omali,Complete,11/1/2018,"91,250.00",Insurance,
2101,Non-Delivery of Processed Contribution Notification (SMS) for Processed Date 13.07.17,ARM Pensions›Information Technology›Information Technology,7/24/2017 19:19,1/8/2018 7:49,7/22/2017,7/22/2017,₦0.00,0.00| 0.00,"There is no financial loss arising from this event. However, a number of clients have been calling for Service update.",0,0,0,Closed,Ahmed Shittu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Abdulmalik Musa,Process›Adequacy of Procedures›Lack of access to internal procedures / guidelines,,,,,Unavailability of the SMS Server to push pending SMSes to the Gateway| No delivery of transaction notifications and birthday SMS on Saturday as well as Sunday.,Actual Loss| Actual Loss,Reputational Loss| Reputational Loss,0.00| 0.00,,,,,,"IT Unit to henceforth provide on a daily basis the following reports:
•Receipt of SMS notification blast
• Start time and completion time
> Summary report of the SMS sent i.e. delivery report.
| IT unit to better manage the installation of Windows updates on the server",Abdulmalik Musa| Abdulmalik Musa,2017-07-24| 2017-07-24,,Complete| Complete,,,,
2099,Unauthorised staff access to highly confidential information – all staff payslip and company expenditures – via Navision Self-Service.,ARM Pensions›Information Technology›Information Technology,7/20/2017 15:10,1/4/2018 15:38,7/20/2017,7/20/2017,₦0.00,0,No monetary loss but it is a breach of data protection policy.,0,0,0,Closed,Lola Olukogbon,"Execution, Delivery and Process Management›Customer account management›Unapproved access given to accounts",Abdulmalik Musa,People›Skills›Negligence of duties and responsibilities,,,,,Breach of data protection policy,Near Miss,Legal Liability,0,No monetary value was lost,,,,,Review and possibly automate the process of onboarding and activation of employees on self-service.,Abdulmalik Musa,7/25/2017,,Complete,,,,
2100,Power outage resulting in abrupt shutdown of servers - corrupting application database and unavailability of shared folders in the process,ARM Pensions›Information Technology›Information Technology,7/20/2017 15:34,3/20/2018 8:47,7/14/2017,7/14/2017,₦0.00,,No financial loss has been incurred,0,0,0,Closed,Paul Pius,Business Disruption and System Failures›Interruption in services provided by external providers›Power outages,Paul Pius,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,,,,,,,,,,"IT Unit to continue to monitor hardware and network resources as well as applications closely.
| IT Unit to request the services of an external vendor to carry out a power audit.
| IT Unit to request the services of our local hardware vendor (Fortschritt Engineers) to make recommendations for increased hardware redundancy.
| Implement recommendation from (Fortschritt Engineers) and the power audit",Steve Omali| Steve Omali| Steve Omali| Steve Omali,9/29/2017,,Complete| Complete| Complete| Complete,,,,
2103,Flood Incident in Asaba Branch Office,ARM Pensions›Administration›Administration,7/25/2017 14:48,11/22/2017 10:03,7/21/2017,7/21/2017,₦0.00,"0.00| 378,990.00",Currently being estimated,0,"378,990.00","378,990.00",Closed,Promise Anthony,Disasters and Other Events›Natural causes›Flood incident,Yetunde Alabi,"External Events›Social and Natural Environment›Natural disasters (Fire, floods, etc)",,,,,Loss of productive man-hours| Damage to office property and equipment ,Actual Loss| Actual Loss,Reduced operational capacity| Loss or Damage to Assets,"0.00| 378,990.00",,,,,,"Follow up with the concerned branch office to estimate the extent of damages and ensure smooth operation is restored. An incidence report should be prepared afterwards.| Purchase new computer system, UPS and other accessories. | Engage the Landlord to construct barricade to prevent flood from entering offices| Fix new side-shelf to keep documents and other office equipments ",Paul Ochojila| Paul Ochojila| Paul Ochojila| Paul Ochojila,2017-07-31| 2017-07-31| 2017-07-31| 2017-12-31,,Complete| Complete| Complete| Complete,,,,
2106,Erroneous Fund Code Mismatch Following Clients' Records Mass Update,ARM Pensions›Operations›Data Management Unit,7/28/2017 15:42,9/29/2017 16:33,7/20/2017,7/27/2017,₦0.00,0,0,0,0,0,Closed,Toyin Olayeni,"Execution, Delivery and Process Management›Monitoring and reporting›Incorrect client records",Toyin Olayeni,People›Skills›Negligence of duties and responsibilities,Systems›System Adequacy›System inadequate for nature of required tasks,,,,Inability/Delay in posting contribution into the client accounts,Actual Loss,Reduced operational capacity,0,,,,,,"Correct all erroneous mass record update carried out on clients accounts | Work with IT to ensure Navision disallows invalid codes (i.e. incorrectly map codes) going forward. This should also include codes that are not available on Navision. 

",Toyin Olayeni| Toyin Olayeni,2017-07-28| 2017-08-11,,Complete| Complete,,,,
2107,"Delay in Booking Trade Due to Counterparty (StanbicIBTC) Failure to forward Contract Note for GTBank 96,069 Shares - CBN Fund",ARM Pensions›Investment Mangement›Investment Mangement,7/28/2017 16:33,10/11/2017 11:23,7/27/2017,7/28/2017,₦0.00,,No estimated loss,0,0,0,Closed,Ifeoluwapo Foloru...,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Oyekunle Omotayo-...,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,,,,,,,,,,Rectify omission of trade bookings via change control| Follow up with Stanbic IBTC for improved service and process around contract note notification ,Ifeoluwapo Foloru...| Oyekunle Omotayo-...,2017-07-28| 2017-08-31,,Complete| Complete,,,,
2108,Unavailability of Official Vehicle to Service CFI Requests.,ARM Pensions›Customer Experience›Lagos & Abuja,7/31/2017 9:10,10/11/2017 11:15,7/31/2017,7/31/2017,₦0.00,,"The CFI strategic initiative to ensure update is completed for 10%  of funded accounts by Dec 
 2017 is currently threatened due to unavailability of transportation to convey man and machine to the CFI sites.

From today till 13th September we have been schedule to visit several sites as attached for SUBEB LASPEC clients.

Efforts and resources go into scheduling these meetings with employers as we cannot afford declining based on any reason at all.

The Mobile Bus would not be available as it would be in use from 1st Aug 2017 by the BD team.

We thus request an urgent intervention to ensure the provision of transportation for CFI activities going forward.

Kindly assist.

We humbly request an urgent intervention .",0,0,0,Closed,Kehinde Ashafa,"Execution, Delivery and Process Management›Other Process breakdown›Error in other administrative/support processes",Kehinde Ashafa,People›Capacity›Staff shortages within support units (lack of capacity in supporting units),,,,,,,,,,,,,,Liaise with Admin unit and avail them of schedule for foreseeable CFI visits. | Work with Admin to create a business case for CX department to have unrestricted access to a official vehicle sole for CFI exercise and forward same to executive management for approval ,Kehinde Ashafa| Kehinde Ashafa,2017-08-01| 2017-08-31,Wale has instructed CX that in a case like this an Uber can be utilized rather than waiting on Admin to get a car,Complete| Complete,,,,
2109,Erroneous Duplication of a processed schedule by another processor.,ARM Pensions›Operations›Contributions Processing,8/7/2017 8:17,9/12/2017 18:31,7/12/2017,8/4/2017,"₦510,051.11",,Posting of a single transaction by two different processors at different transaction date.,0,0,0,Closed,Tolulope Fimoroti,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Data entry errors (e.g. wrong payment instructions, wrong account credited etc.)",Lawrence Sonibare,People›Skills›Performance failure of Support unit,Process›Quality of controls›Failure of automated controls,,,,,,,,,,,,,Reverse erroneous posting of duplicate transaction| Ensure schedules are split appropriately to prevent duplicate postings,Tolulope Fimoroti| Martins Edesemhen,2017-08-07| 2017-08-30,,Complete| Complete,,,,
2111,Inability to Run EOD on fundware for about an Hour,ARM Pensions›Operations›Fund Account,8/9/2017 7:47,9/12/2017 18:19,8/9/2017,8/9/2017,₦0.00,,Delay in spooling reports,0,0,0,Closed,Temitope Sotuminu,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Ireti Ishola,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,,,,,,,,,,Escalate issue to IT team and Vendor (Milesoft),Temitope Sotuminu,8/9/2017,Issue resolved by vendor,Complete,,,,
2113,Use of Wrong Value Date To Run EOD Process On Navision,ARM Pensions›Finance and Treasury›Financial Control,8/11/2017 9:45,9/29/2017 16:37,8/10/2017,8/11/2017,₦0.00,,No Financial Loss,0,0,0,Closed,Olamilekan Osunneye,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Data entry errors (e.g. wrong payment instructions, wrong account credited etc.)",Moji Adenekan,People›Skills›Negligence of duties and responsibilities,Process›Quality of controls›Inadequate controls in place (specific / pervasive / monitoring),,,,Inability to run EOD for successive days,Actual Loss,Reduced operational capacity,,,,,,,Rectify error (change of value date) via Change Control | FinCon to engage IT to put controls in place to prevent selection of future value dates when carrying out the EOD process on Navision.,Olamilekan Osunneye| Moji Adenekan,2017-08-11| 2017-08-31,,Complete| Complete,,,,
2116,Omitted Trade: Sale of June 2019 FGN Bond on Fundware - Exxon Fund,ARM Pensions›Investment Mangement›Investment Mangement,8/11/2017 16:44,9/12/2017 18:05,8/9/2017,8/11/2017,₦0.00,,0,0,0,0,Closed,Nkem Azinge,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Oyekunle Omotayo-...,People›Skills›Negligence of duties and responsibilities,,,,,Inaccurate Holding report,,,,,,,,,IM via change control rectify the omission,Nkem Azinge,8/11/2017,,Complete,,,,
2117,Discrepancy between System (Fundware) generated FGN Bond consideration and the manually computed consideration - Exxon Mobil Fund,ARM Pensions›Operations›Fund Account,8/14/2017 12:24,9/12/2017 18:00,8/11/2017,8/14/2017,₦0.00,,0,0,0,0,Closed,Aderemi Awoyemi,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›Automated data processing errors,Ireti Ishola,Systems›System Adequacy›System inadequate for nature of required tasks,,,,,,,,,,,,,,Rectify error via Change Control | IT to resolve ensure the Discrepancy between System (Fundware) generated FGN Bond consideration and the manually computed consideration for Exxon Mobil Fund is resolved,Aderemi Awoyemi| Emmanuel Oladinrin,2017-08-14| 2017-08-18,,Complete| Complete,,,,
2121,"Omitted Equity Trades - ExxonMobil Portfolio, 830, 000 Units of NB Shares",ARM Pensions›Investment Mangement›Investment Mangement,8/21/2017 13:20,10/11/2017 10:46,8/16/2017,8/18/2017,₦0.00,,No estimated loss,0,0,0,Closed,Ifeoluwapo Foloru...,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Transaction not booked or Transaction not registered as and when due",Oyekunle Omotayo-...,People›Skills›Negligence of duties and responsibilities,,,,,,,,,,,,,,Rectify omission of trade bookings via change control,Ifeoluwapo Foloru...,8/19/2017,,Complete,,,,
2122,FGN Bond Sales booked with a wrong instrument code (Code FGNBD153X instead of FGNBN129),ARM Pensions›Investment Mangement›Investment Mangement,8/23/2017 15:57,9/12/2017 17:57,8/17/2017,8/23/2017,₦0.00,,No financial loss involved,0,0,0,Closed,Iyanuoluwa Ibrahim,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Data entry errors (e.g. wrong payment instructions, wrong account credited etc.)",Atiku Audu,People›Skills›Negligence of duties and responsibilities,,,,,,,,,,,,,,Rectify error via change control,Iyanuoluwa Ibrahim,2017-08-23| 2017-09-30,,Complete,,,,
2127,Non Calculation of Staff Pensions and NHF Deductions by Navision (Agg: 2),ARM Pensions›Finance and Treasury›Financial Control,8/28/2017 9:02,10/3/2017 9:22,8/23/2017,8/23/2017,"₦126,065.37","126,065.37",Estimated differentials,"126,065.37","126,065.37",0,Closed,Moji Adenekan,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Moji Adenekan,Systems›System availability›Software failure (Software / data corruption etc),,,,,Financial loss due to salary deductions erroneously paid to staff.,Actual Loss,Loss of Recourse,"126,065.37",The amount erroneously paid out,,,,,Work with IT to ensure identified system glitch is rectified going forward.,Moji Adenekan,9/8/2017,,Complete,9/28/2017,"126,065.37",Others,Refunded amount
